,game_name,game_url,game_rank,jam_url,participants,submissions,host,game_score
0,Randomancer,https://riuku.itch.io/randomancer,1,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0001645548790521639
1,Holonomy,https://fuzzyzilla.itch.io/holonomy,2,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0003291097581043278
2,The Quest of the Dice,https://matteo-dalessandro.itch.io/the-quest-of-the-dice,3,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0004936646371564917
3,Where They Fall,https://manatea.itch.io/where-they-fall,4,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0006582195162086556
4,Minute Matcher,https://serponge.itch.io/minute-matcher,5,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0008227743952608195
5,Ultimate Rollies,https://grobaworks.itch.io/ultimate-rollies,6,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0009873292743129835
6,Fire and Dice,https://golen.itch.io/fire-and-dice,7,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0011518841533651473
7,Rolling Racers,https://stevopineapple.itch.io/rolling-racers,8,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0013164390324173112
8,Dice Catcher,https://kultisti.itch.io/dice-catcher,9,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.001480993911469475
9,Battle For the Board Demo,https://speediocre.itch.io/battle-for-the-board,10,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.001645548790521639
10,TYPING,https://typing2122.itch.io/typing,11,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.0018101036695738028
11,SPEEDLINE,https://wushy.itch.io/speedline,12,https://itch.io/jam/gmtk-jam-2022,22000,6077,https://gmtk.itch.io,0.001974658548625967
